№,Название,Отрасль,Краткое описание специфики деятельности,Дата создания,Контактная информация,Офисы (адрес/тел.),web-контакты (сайт/блог/твиттер),Учредители,Кол-во сотрудников,Управляющая команда (ФИО руководителей),Финансовые показатели за прошлые периоды (чистая прибыль),Финансирование в компанию (кто/когда/сколько) - этапы и суммы инвестиций,Поглощения других компаний (кого/когда/сколько),Инвестиции от имени компании в другие проекты (куда/когда/сколько),Exit (IPO) (где/когда/объявленная стоимость/капитализация),Котировки акций,Куплена (кем/когда/сколько),Созданные продукты,Поставщики услуг,Конкуренты,Опыт взаимодействия с институтами развития,"Участие в конкурсах, премиях",Участие в акселераторах,Потребность в инвестициях (в диапазонах),
106,ООО «ТМК-ИНОКС»,Промышленные технологии,"управление, организация и материально-техническое обеспечение производства нержавеющих труб.",  28.12.2009,"Юридический адрес:   623401 Свердловская область, г Каменск-Уральский, ул Заводской проезд, д 1","Телефон:  +7 (343) 9363099, +7 (3439) 363680, +7 (3439) 363754","Сайт: www.tmk-group.ru, E-mail: ZaharovOV@sintz.ru","ОАО СинТЗ, ОАО РОСНАНО, ОАО ТМК",Нет данных,"  Марченко Леонид Григорьевич  - Генеральный Директор, Заместитель Генерального директора - Коммерческий директор - Рыкалин Николай Алексеевич 
Заместитель Генерального директора по экономике и финансам - Борщевский Александр Викторович",22 825 000 руб. (2011),"Вложения Роснано - 1,30 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,нержавеющие трубы,"ООО «Наунет СП», OОО «ЗЕНОН Н.С.П.»",,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"3,75 млрд руб.",
107,ООО «Нейтронные технологии»,Промышленные технологии,Серийное производство детекторов взрывчатых и наркотических веществ на основе метода меченых нейтронов. ,  31.05.2010,"Юридический адрес:   141980 Московская область, г Дубна, ул Академика Балдина, д 4","Телефон:  +7 (496) 2163027, Факс:  +7 (49621) 65767","Сайт: www.ntech.jinr.ru, E-mail: ntech@jinr.ru","ООО ДВИН, ОАО РОСНАНО, ОИЯИ",Нет данных,  Колпачёв Георгий Николаевич  - Генеральный директор,80 764 000 руб. (2011),Вложения Роснано - 155 млн руб.,,,Не котируется на бирже,Не котируется на бирже,,детекторы взрывчатых и наркотических веществ,ЗАО «Региональный Сетевой Информационный Центр»,,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"462,1 млн руб.",
108,ООО «РМТ»,Промышленные технологии,"реализация проекта по расширению производства термоэлектрических охлаждающих микросистем. Массовое производство микроохладителей создает кластерный эффект, обеспечивая ряд направлений развития техники готовыми решениями для эффективного отвода тепла.",  28.09.2010,"Юридический адрес:   603950 г Нижний Новгород, ул Нартова, д 2",Телефон:  +7 (831) 4169910,Сайт: http://www.rmtltd.ru/,"ОАО РОСНАНО, ООО УК СГКМ",Нет данных,  Громов Геннадий Гюсамович  - Генеральный Директор,Нет данных,Вложения Роснано - 420 млн руб.,,,Не котируется на бирже,Не котируется на бирже,,термоэлектрические охлаждающие микросистемы,ЗАО «Демос-Интернет»,,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"797,02 млн руб.",
109,ЗАО «НикоМаг»,Экологически чистые технологии,"Разработка технологии комплексной переработки бишофита, реализуемой в рамках стратегии развития ГК «НИКОХИМ».",  21.09.2007,"Юридический адрес:   400097 г Волгоград, ул 40 лет ВЛКСМ,57","Телефон:  +7 (8442) 406992 ,+7 (8442) 406230, +7 (844) 2406992, +7 (8442) 406058. Факс:  +7 (8442) 406177","E-mail: mamlutov@kaustik.ru, Сайт: www.nikomag.com",ОАО КАУСТИК,51-100,"Азизов Эльдор Энгленович  - Генеральный директор ООО ""НИКОХИМ""",23 412 000 руб. (2011),"Вложения Роснано - 1,28 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,технология комплексной переработки бишофита,"JSC ""NikoMag"", ЗАО ""Вэб Хостинг""",,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"3,08 млрд руб.",
110,ЗАО «ЭЛВИС-НеоТек»,ИКТ,"создание системного центра проектирования интегральных микросхем сверхвысокой степени интеграции по нормам 90 нанометров и менее, на основе которых будут создаваться системы безопасности и бизнес-мониторинга с компьютерным зрением и видеоаналитикой.",  01.02.2011,"Юридический адрес: 124498 г Москва, г Зеленоград, пр 4922-й, д 4, стр 2","Телефон:  +7 (499) 7317502, +7 (495) 913-31-88 , +7 (499) 732-33-11","Сайт: www.elvees.ru, E-mail: main@elvees.com, http://ru-ru.facebook.com/ZaoElvisNeoTek",ЗАО ЭЛВИИС,Нет данных,"  Ракутин Александр Николаевич  - Генеральный Директор, Президент группы компаний «ЭЛВИС» Петричкович Ярослав Ярославович, Директор по работе с клиентами Хромова Юлия, Менеджеры: Пименов Андрей, Князькова Наталия, Парфенов Евгений, Ракутин Вадим ",(9 438 000) руб. (2011),"Вложения Роснано - 1,06 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,решения для проектирования интегральных микросхем сверхвысокой степени интеграции,"ЗАО ""Элвис-Телеком""",,Портфельная компания РОСНАНО,,,"2,81 млрд руб.",
111,Гален ООО,Промышленные технологии,разработка технологии изготовления композитных материалов — базальтопластиковой арматуры. ,  26.11.2002,"Юридический адрес: 428008 г Чебоксары, ул Комбинатская, д 4"," г. Чебоксары, Кабельный пр., д. 3, Телефон:  +7 (8352) 662322","Сайт: www.volgahim.ru, 
www.galen.su, twitter.com/#!/galen_su, http://www.facebook.com/pages/GALEN-project-company-of-RUSNANO-JSC/409174692442921, http://vk.com/galen_su","ООО Гален-Новые технологии, ОАО Роснефть",101-250,"  Николаев Валерий Николаевич  - Директор, Николаев Евгений Валерьевич коммерческий директор",2 529 000 руб. (2011),Вложения Роснано - 200 млн руб.,,,Не котируется на бирже,Не котируется на бирже,,базальтопластиковая арматура,"Итальянская компания «Топ Гласс», «КЕМРОК», ОАО «МАПИД», ООО «СпейсВэб» ","ООО ""ДЮП"", МУП АПТЕКА №107, ООО ""КИНЕЯ"", ООО ""ОЛЬФАРМ"", ООО ""РОСЬ-ВИТА"", ООО ""АПТЕКА ПЛЮС""",Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"694,7 млн руб.",
112,ЗАО «Уралпластик-Н»,Промышленные технологии,"производство нанокомпозитов и технологие введения их в состав пленок, а так же производство пленок, модифицированных нанокомпозитами.",  03.12.2009,"Юридический адрес6   624000 Свердловская область, Сысертский район, г Арамиль, ул Клубная, д 25","Телефон:  +7 (343) 3219622, +7 (912) 2107909",Сайт: www.uralplastic.com,"ЗАО УРАЛПЛАСТИК, Государственная корпорация ""Российская корпорация нанотехнологий",450,Гончаров Алексей Иванович  - Генеральный Директор,(86 838 000) руб. (2011),"Вложения Роснано - 1,08 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,"нанокомпазиты и пленки, модифицированные нанокомпозитами","ООО ""Медиасайт"", ЗАО «Региональный Сетевой Информационный Центр»",,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"2,55 млрд руб.",
113,"ООО «МСЛР» ( ООО ""РУСАЛОКС"")",ИКТ,"Производство плат для электронных устройств, прежде всего светодиодов, требующих отвода тепла.",  23.11.2010,"Юридический адрес:   107031 г Москва, ул Рождественка, д 5/7, стр 2, пом V, комн 18"," 127473 Москва ул. Краснопролетарская, д.16, стр.1, подъезд 3, этаж 3, Тел.: +7 (495) 797-80-65
","e-mail: eshaymerdenov@mclr.ru, сайт:mslr.cm.ru, http://rusalox.ru/","Общество с ограниченной ответственностью ""МСЛ Майкро Компонентс Сайпрайс Лимитед"" (MCL MICRO COMPONENTS CYPRUS LIMITED), ОАО Роснано",Нет данных,"Найш Михаил Маркович  - Генеральный Директор, Михаил Руфицкий Главный инженер, Сергей Пашаиев Финансовый директор; Ури Мирски основатель и генеральный директор MCL, Шимон Нефтин Технический директор MCL, Лев Фурер Главный инженер MCL, ",Нет данных,Вложения Роснано - 120 млн руб.,,,Не котируется на бирже,Не котируется на бирже,,платы для электронных устройств,ООО «Интернет-Хостинг»,"завод печатных плат ""Электроконнект""","Портфельная компания РОСНАНО
Портфельная компания фонда под управлением Tamir Fishman CIG",Не участвовали,"промышленный парк ВПО ""Точмаш""",868 млн руб.,
114," 
ЗАО «МАНЭЛ»",Промышленные технологии,"разработка, развитие и внедрение технологий в области микродугового оксидирования.",  15.04.2010,"Юридический адрес:   634015 г Томск, ул Циолковского, д 19, корп 2","Телефон:  +7 (382) 2499200, +7 (3822) 73-57-45, +7 (3822) 73-59-65",Сайт: www.manel.ru,"ЗАО ЭлеСи, Государственная корпорация ""Российская корпорация нанотехнологий"", ФГБУ Томский государственный университет",51-100,  Бутягин Павел Игоревич  - ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,(18 585 000) руб. (2011),Вложения Роснано - 50 млн руб.,,,Не котируется на бирже,Не котируется на бирже,,технологии в области микродугового оксидирования,ЗАО «Региональный Сетевой Информационный Центр»,,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,355 млн руб.,
115,РМ Нанотех,Промышленные технологии,"создание в РФ современного высокотехнологичного и высокопроизводительного промышленного производства композитных ультра-, нанофильтрационных и обратноосмотических мембран и рулонных фильтрующих модулей.",  18.08.2010,"Юридический адрес:   600016 г Владимир, ул Большая Нижегородская,77","Телефон:  +7 (492) 2322956, Факс:  +7 (4922) 322956","Сайт: www.rmnanotech.ru, https://twitter.com/RM_Nanotech, http://www.facebook.com/pages/РМ-Нанотех/215914665105497, http://rm-nanotech.livejournal.com/","ООО Владипор-М, Государственная корпорация ""Российская корпорация нанотехнологий""",21-50,  Баженов Иван Григорьевич  - Генеральный Директор,4 984 000 руб (2011),"Вложения Роснано - 1,14 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,"композитные ультра-, нанофильтрационные и обратноосмотические мембраны и рулонные фильтрующие модули",ЗАО «Региональный Сетевой Информационный Центр»,,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"1,93 млрд руб.",
116,ООО «РСТ-Инвент»,ИКТ,разработка и производство UHF RFID меток и разработчиком UHF RFID чипов стандарта EPC Class 1 Gen. 2 на основе технологии 90 нм в России.,  20.07.2010,"Юридический адрес:   194100 Г САНКТ-ПЕТЕРБУРГ, ПРОСП Б САМПСОНИЕВСКИЙ, 68 ЛИТЕРА Н ПОМ 5-Н","Телефон:  +7 (812) 4932651, Факс:  +7 (812) 4932652","Сайт: www.rst-invent.ru, http://www.facebook.com/rst.invent,http://vk.com/id162127964, https://twitter.com/RstInvent, http://rst-invent.livejournal.com/, ","ООО Систематика, ОАО Роснано",Нет данных,  Дудников Сергей Юрьевич  - Генеральный Директор,Нет данных,"Вложения Роснано - 186,98 млн руб.",,,Не котируется на бирже,Не котируется на бирже,,чипы радиочастотной идентификации,ЗАО «Региональный Сетевой Информационный Центр»,"AIDA Centre S.L., Американская компания ""Alien Technology"", итальянская компания ""CAEN RFID""",Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"781,01 млн руб.",
117,ЗАО «Оптиковолоконные системы»,ИКТ,реализия в Саранске (Республика Мордовия) проекта «Создание производства оптического волокна».,  18.02.2008,"Юридический адрес: 430034 г Саранск, шоссе Светотехников, д 5","Телефон:  +7 (834) 2471653 
Факс:  +7 (8342) 471653",E-mail: riosar@yandex.ru,"ООО Финпроект, Фонд Созидание,  КП Республики Мордовия Дирекция программы",Нет данных,  Шаповалов Игорь Владимирович  - Генеральный директор,(1 536 000) руб (2011),"Вложения Роснано - 1,30 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,оптическое волокно,,"AKSH Optifibre Ltd, компания ""3М"", ООО ""Элкс-Кабель""",Портфельная компания РОСНАНО,Не участвовали,АУ “Технопарк-Мордовия“,"2,71 млрд руб.",
118,Метаклэй,Промышленные технологии,"производство модифицированных слоистых наносиликатов, мастербатчей и полимерных нанокомпозиционных материалов нового поколения.",  20.10.2009,"Юридический адрес:  242500 Брянская область, г Карачев, ул Карла Маркса, д 15","Адрес местонахождения: 242500 Брянская область, г. Карачев, ул. Советская, 58. Телефон:  +7 (483) 3523682",Сайт: www.metaclay.ru,"LICZ AMT LIMITED, ОАО Металлист",Нет данных,"Штепа Сергей Вячеславович  - Генеральный Директор, Руководитель отдела инновационных технологий Бахов Федор Николаевич, Руководитель аналитического отдела Скворцов Иван Николаевич, Руководитель отдела физико-механических испытаний Злобин Владимир Борисович, Руководитель Отдела масштабирования технологий Соколова Юлия Андреевна",(111 196 000) руб (2011),"Вложения Роснано - 1,10 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,"модифицированные слоистые наносиликаты, мастербатчи и полимерные нанокомпозиционные материалы нового поколения.","ЗАО ""1Гб.ру""","Elastron (Турция), Alpha Gary (США)",Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"2,06 млрд руб.",
119,ООО «Германий и приложения»,Промышленные технологии,"Производство материалов и химических продуктов, имеющих высокотехнологическое применение в оптике, электронике, химии, в аэрокосмической области, в сфере телекоммуникаций, в солнечной энергетике.",  02.06.2006,"Юридический адрес:  119270 г Москва, наб Лужнецкая, д 2/4, стр 64","Телефон:  +7 (495) 5405174 , +7 (495) 3157264 
Факс:  +7 (495) 5405174","Сайт: www.geapplic.ru   
E-mail: ge@geapplic.ru","Мельниченко Игорь Михайлович, ОАО Роснано, ЮНИФАЙД ИНВЕСТМЕНТС ЛИМИТЕД",251-500,  Витков Владимир Семенович  - Генеральный Директор,(13 933 000) руб. (2011),"Вложения Роснано - 0,8 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,"материалы и химические продукты, имеющие высокотехнологическое применение в оптике, электронике, химии, в аэрокосмической области, в сфере телекоммуникаций, в солнечной энергетике","ЗАО ""Региональный Сетевой Информационный Центр"", ЗАО «Мастерхост»",,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"2,17 млрд руб.",
120,ЗАО «Эрбитек»,Живые системы,Производство медицинской аппаратуры на основе инновационной технологии бесконтактного прокола тканей пальца на основе Er:YAG лазера,  23.12.2010,"Юридический адрес:  357111 Ставропольский край, г Невинномысск, ул Приозерная, д 19","Телефон:  +7 (865) 5468890,+7 (8652) 316-530","Сайт: 
www.erbitech.com","ООО Новые Технологии, Государственная корпорация ""Российская корпорация нанотехнологий"", ООО ИЦНТ",Нет данных,  Шинкарев Евгений Васильевич  - генеральный директор,Нет данных,"Вложения Роснано - 324,8 млн руб.",,,Не котируется на бирже,Не котируется на бирже,,медицинская аппаратура на основе инновационной технологии бесконтактного прокола тканей пальца на основе Er:YAG лазера,"PDR LTD., ООО ""Агава-Интернет""",,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,800 млн руб.,
121,ООО «Коннектор Оптикс»,ИКТ,производство оптических компонентов для сверхскоростной передачи данных по оптическим линиям связи.,11/2/2009,"Юридический адрес:  194292 Г САНКТ-ПЕТЕРБУРГ, УЛ ДОМОСТРОИТЕЛЬНАЯ, 16 ЛИТЕР Б","Телефон: +7 (812) 327-50-55 
Факс: +7 (812) 334-72-20","сайт: 
www.connector-optics.com","ОАО РОСНАНО, Общество с ограниченной ответственностью ""ВИ Системс ГМБХ"", ОАО Уралсиб",501-1000,  Луценко Александр Михайлович  - Генеральный директор,(33 740 000) руб. (2011),"Вложения Роснано - 0,77 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,оптические компоненты для сверхскоростной передачи данных по оптическим линиям связи,ООО «ТаймВэб»,"Epitaxx Inc. icsson Components Ab, Fujitsu Microelectronics Inc., Hamamatsu Corp., Hewlett-Packard, Hit Lasertron Inc., Laser Diode Inc., NEC Electronics tnc., OKI Semiconductors, Optek Technology Optical Communication Product Inc., Orte! Corp., Siemens Corp.",Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"1,1 млрд руб.",
122,ООО «ЭСТО-Вакуум»,Промышленные технологии,"разработка автоматизированного вакуумно-технологического оборудования для напыления, травления, осаждения различных материалов.",  24.06.2003,"Юридический адрес:  124460 г Москва, г Зеленоград, пр 4806, д 4, стр 1",Телефон:  +7 (499) 7106000,"Сайт: www.esto-vacuum.ru   
E-mail: info@esto-vacuum.ru","ОАО РОСНАНО, Шитов Павел Николаевич, Разумов Виталий Борисович, Знатнов Анатолий Александрович, Белецкий Владимир Евгеньевич",101-250,"  Челапкин Данил Геннадьевич  - Генеральный Директор, Директор департамента проектирования - Белецкий Владимир Евгеньевич ,  Менеджер по работе с клиентами: Федотова Ольга Александровна ",776 000 руб (2007),"Вложения Роснано - 0,20 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,"вакуумно-технологическое оборудование для напыления, травления, осаждения различных материалов.","ЗАО «Региональный Сетевой Информационный Центр», ООО «Интернет-клиент», ООО ""ПэйджМастер""",,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,1 млрд руб.,
123,ЗАО «САН-НСК»,ИКТ,производство принтеров для широкоформатной печати,  21.09.2009,"Юридический адрес:  633009 Новосибирская область, г Бердск, ул Зеленая Роща, 7/1",Телефон:  +7 (383) 3356334,"E-mail: office@sun-nsk.ru, Сайт: www.sunrussia.com",Мирчев Владислав Юрьевич,Нет данных,"  Курочкин Юрий Владимирович  - ГЕНЕРАЛЬНЫЙ ДИРЕКТОР

",Нет данных,"Вложения Роснано - 0,57 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,принтеры для широкоформатной печати,"ООО ""Евростудио"", ЗАО «Региональный Сетевой Информационный Центр»","компания CHALLENGER (Fei Yeung Union) и компания Liyu (LIYU Computer Equipment Manufacturing CO., Ltd)",Портфельная компания РОСНАНО,Не участвовали,Не участвовали,Инвестиции не привлекаются,
124,ООО «Оптосенс»,Промышленные технологии,реализации проекта по производству нового поколения датчиков взрывоопасных газов.,  29.01.2010,"Юридический адрес:  194156 Г САНКТ-ПЕТЕРБУРГ, ПРОСП ЭНГЕЛЬСА, 27 ЛИТЕР АД","Телефон: +7 (812) 633-05-94 , +7 (812) 633-05-95 
Факс: +7 (812) 633-05-94","Сайт:
www.optosense.ru","ОАО РОСНАНО, ОАО РЭКС, ООО ЭМИ, ООО ИКО ",Нет данных,  Максютенко Александр Анатольевич  - Генеральный Директор,Нет данных,Вложения Роснано - 209 млн руб.,,,Не котируется на бирже,Не котируется на бирже,,датчики взрывоопасных газов,ЗАО «Региональный Сетевой Информационный Центр»,,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"496,51 млн руб.",
125,Микробор Нанотех,Промышленные технологии,"производство нового поколения композитных материалов из Кубического Нитрида Бора (КНБ) и нано КНБ (НКНБ), а также инструментов на их основе",  11.12.2009,"Юридический адрес:  115114 г Москва, ул Кожевническая, д 1, стр 1, офис 507",Телефон:  +7 (495) 7972088,Сайт:  www.microbor.ru. ,"МИКРОБОР ХОЛДИНГ ЛИМИТЕД, Государственная корпорация ""Российская корпорация нанотехнологий""",51-100,  Савельчев Алексей Петрович  - Генеральный директор,(146 601 000) руб.  (2011),"Вложения Роснано - 0,96 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,"композитные материалы из Кубического Нитрида Бора (КНБ) и нано КНБ (НКНБ), а также инструментов на их основе",ЗАО «Региональный Сетевой Информационный Центр»,,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"1,20 млрд руб.",
126,ООО «НПЦ „Пружина”»,Промышленные технологии,Производство крепежных изделий и пружин,  18.04.2007,"Юридический адрес:  426057 г Ижевск, проезд им Дерябина 2/55","Телефон:  +7 (341) 2719192 
Факс:  +7 (3412) 719192",Сайт: http://www.npc-springs.ru,"ОАО РОСНАНО, ОАО Ижевский машзавод, ОАО Уралсиб",51-100,"Тарасов Дмитрий Валерьевич  - Генеральный директор, Пимкин Дмитрий Александрович Председатель Совета директоров,  Кутергин Владимир Алексеевич Член Совета директоров, Шаврин Олег Иванович Научный руководитель,Збар Павел Сергеевич Коммерческий директор, Горковенко Алексей Константинович Заместитель генерального директора по железнодорожной технике, Збар Сергей Григорьевич Технический директор  

  ",(92 257 000) руб. (2011),"Вложения Роснано - 0,83 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,крепежные изделия и пружины,"Компания «Пиком», ОАО «Первая грузовая компания», ООО ""Продвижение""",,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"1,11 млрд руб.",
127,ООО «Усолье-Сибирский Силикон»,Промышленные технологии,"Реализия проекта по производству поликристаллического кремния и моносилана на базе предприятий компании НИТОЛ, расположенных в г. Усолье-Сибирское Иркутской области.",  09.12.2005,"Юридический адрес:  665452 Иркутская область, г Усолье-Сибирское, территория ооо ""Усольехимпром","Телефон:  +7 (395) 4357037 ,+7 (39543) 57101  
Факс:  +7 (39543) 57793, +7 (39543) 57037",Сайт:  www.nitol.ru,ООО Группа НИТОЛ,641,Ростокин Валерий Анатольевич  - Генеральный директор,(1 751 347 000) руб. (2011),"Вложения Роснано - 13,90 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,поликристаллический кремний и моносилан,ЗАО «Региональный Сетевой Информационный Центр»,,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"19,7 млрд руб.",
128,Галилео Нанотех,Промышленные технологии,"производство металлизированной бумаги, металлизированной плёнки и RFID меток.",  01.02.2012,"Юридический адрес:  141371 Московская область, Сергиево-Посадский район, г Хотьково, ул Заводская, д 32","Телефон:  +7 (985) 4112473, +7 (495) 2879855 
Факс:  +7 (495) 2879855",Сайт: www.galileonano.ru,"""ООО Компания по Управлению Промышленными Инвестициями"", ""Российская корпорация нанотехнологий""",Нет данных,"  Крушинский Андрей Андреевич  - Генеральный Директор, Директор по развитию RFID
Чепик Александр Ануфриевич,  Коммерческий директор Овчинников Роман Сергеевич, Директор по маркетингу и аналитике 
Гриднева Елена Николаевна,Директор по финансам и экономике
Разинкин Алексей Валентинович, Главный бухгалтер
Ли Елена Ильясовна, Директор юридического департамента
Чебурашкина Юлия Григорьевна 


 ",(140 475 000) руб. (2011),"Вложения Роснано - 1,22 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,"металлизированная бумага, металлизированная плёнка и RFID метки","ЗАО «Мастерхост», ЗАО «Регистратор Р01»","«Данафлекс», Уралпластик-Н», Amcor, Walki Group.",Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"2,19 млрд руб.",
129,ООО «РУСХИМБИО»,Промышленные технологии,"оперативное снабжение предприятий высококачественными химическими и биологическими реагентами для повышение эффективности деятельности российской науки и производителей, работающих в сфере высоких технологий, в том числе нанотехнологий",  11.08.2009,"Юридический адрес:  117036 г Москва, ул Дмитрия Ульянова, д 26 А, стр 2","Телефон:  +7 (916) 6885603, +7 (495) 2760067, +7 (495) 6481574, +7 (495) 6481575, +7 (495) 9269190",Сайт: www.ruschembio.ru ,"Попков Игорь Анатольевич, ОАО Роснано",51-100,  Родин Олег Геннадьевич  - Генеральный директор,36 439 000 руб. (2011),"Вложения Роснано - 42,82 млн руб.",,,Не котируется на бирже,Не котируется на бирже,,высококачественные химические и биологические реагенты," ЗАО ""Ламинарные системы"", Группа компаний «Люмэкс», ЗАО «Региональный Сетевой Информационный Центр», ЗАО «Мастерхост»",,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"89,94 млн руб.",
130,ООО «Вириал»,Промышленные технологии,"разработка технологии получения износостойких керамических изделий из карбида кремния для нефтедобывающей, нефтеперерабатывающей, химической, газовой промышленности, изготовления изделий сложной формы из пиролитического нитрида бора, нанесения защитных окислительно-стойких покрытий и покрытий из пиролитического углерода на углеграфитовые детали, нанесения покрытий из пиролитического углерода на стеклоткань и выпуск на ее основе нагревательных элементов.",  05.01.2003,"Юридический адрес:  194156 Г САНКТ-ПЕТЕРБУРГ, ПРОСП ЭНГЕЛЬСА, 27 КОРП 143А","Телефон:  +7 (812) 5548339, +7 (812) 2942583, +7 (812) 5531686 
Факс:  +7 (812) 3266197",Сайт:  www.virial.ru ,"ОАО Роснано, ЭЛЕМОРУС ХОЛДИНГЗ ЛИМИТЕД, Румянцева Марина Эйхоновна, Румянцев Владимир Игоревич, Кузьмин Игорь Александрович, ЗАО Сибирская органика, Румянцев Михаил Владимирович, Радциг Никита Михайлович, Румянцев Иван Владимирович",251-500,"  Румянцев Владимир Игоревич  - Генеральный Директор, Заместитель генерального директора Михаил Владимирович Румянцев, Технический директор Никита Михайлович Радциг, Финансовый директор Марина Эйхоновна Румянцева, И.о. главного бухгалтера Александра Петровна Куракулова, Директор по производству Сергей Юрьевич Васильев, Главный технолог Николай Юрьевич Ковеленов, Начальник отдела перспективных разработок Лев Николаевич Кочерга, Начальник отдела материально-технического снабжения Лилия Вагнировна Коберман, Начальник коммерческого отдела Евгений Вячеславович Сиваев, Начальник отдела кадров Елена Николаевна Никонова",50 985 000 руб. (2011),"Вложения Роснано - 0,65 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,"технология получения износостойких керамических изделий из карбида кремния, изготовления изделий сложной формы из пиролитического нитрида бора, нанесения защитных окислительно-стойких покрытий и покрытий из пиролитического углерода на углеграфитовые детали, нанесения покрытий из пиролитического углерода на стеклоткань и выпуск на ее основе нагревательных элементов.","ЗАО «Регистратор Р01», ООО ""Хостланд"", ООО «Нимакс»",,"Портфельная компания РОСНАНО, Резидент СЭЗ г. Санкт-Петербург, «Санкт-Петербург»",Не участвовали,Не участвовали,"1,70 млрд руб.",
131,ЗАО «Препрег-СКМ»,Промышленные технологии,реализация проекта по выпуску широкой номенклатуры препрегов (полифабрикатов для полимерных композиционных материалов нового поколения).,  05.05.2009,"Юридический адрес:  119415 г Москва, просп Вернадского, д 37, корп 2","Телефон:  +7 (495) 4116655,+7 (495) 7878828 
Факс:  +7 (495) 7878828","Сайт: www.compozit.su, http://www.prepreg.ru/. http://www.facebook.com/CompozitHC, http://compositehc.livejournal.com/, http://twitter.com/#!/compozitHC","Государственная корпорация ""Российская корпорация нанотехнологий"", ЗАО ХК Композит, ЗАО Унихимтек-Композит",Нет данных,"  Меламед Леонид Борисович  - Генеральный Директор ЗАО «Холдинговая компания «Композит»,
Директор по развитию бизнеса
Дениэл ПИХЛЕР ЗАО «Препрег-СКМ», Руководитель филиала №1 в г. Климовск Татьяна ИВАНОВА 
",(46 669 000) руб. 2009,"Вложения Роснано - 3,25 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,препреги (полифабрикаты для полимерных композиционных материалов нового поколения).,ЗАО «Региональный Сетевой Информационный Центр»,,Портфельная компания РОСНАНО,Участвовал в конкурсе «Инновации в строительстве»,"Технополис ""Москвич""","3,46 млрд руб.",
132,ООО «ТЕРМОИНТЕХ»,Экологически чистые технологии,реализация проекта по созданию производства термоэлектрических систем для охлаждения и генерации электричества.,  09.03.2010,"Юридический адрес:  125413 г Москва, ул Сенежская, д 6 А",Телефон: +7 (495) 424-18-44,Сайт: www.thermointech.ru,"ООО фирма ДЖОНИ-ГЕЙМ, ОАО Роснано",Нет данных,  Кудряшов Андрей Васильевич  - Генеральный директор,7 292 000 руб. 2011,"Вложения Роснано - 0,6 млрд руб.",,,Не котируется на бирже,Не котируется на бирже,,термоэлектрические системы для охлаждения и генерации электричества,ЗАО «Региональный Сетевой Информационный Центр»,,Портфельная компания РОСНАНО,Не участвовали,Не участвовали,"1,63 млрд руб.",
